batch_id,model,effort,passed,tasks,raw_iq,total_tokens,input_tokens,cached_input_tokens,output_tokens,wall_seconds,cost_usd,weighted_score,anomaly,reliability_weight,provenance,source_url
2026-07-10-n,gpt-5.6-sol,max,9,10,135,70343827,69905097,67619328,438730,8073,,,false,1.0,public_summary,https://codexradar.com/
2026-07-11-pm,gpt-5.6-sol,max,9,10,135,88099695,87616841,85716992,482854,2670,,,false,1.0,public_summary,https://codexradar.com/
2026-07-12-am,gpt-5.6-sol,max,7,10,105,70566358,70098936,68385280,467422,1787,,,false,1.0,public_summary,https://codexradar.com/
2026-07-12-pm,gpt-5.6-sol,max,7,10,105,55747349,55300218,53708544,447131,2250,,,false,1.0,public_summary,https://codexradar.com/
2026-07-13-am,gpt-5.6-sol,max,10,10,150,35359679,35051480,33519360,308199,1647,34.93537,100.00,false,1.0,public_summary,https://codexradar.com/
2026-07-10-pm_2,gpt-5.6-sol,xhigh,7,10,105,43522951,43204252,41878784,318699,1386,,,false,1.0,public_summary,https://codexradar.com/
2026-07-11-pm,gpt-5.6-sol,xhigh,8,10,120,22700466,22479208,21472512,221258,1054,,,false,1.0,public_summary,https://codexradar.com/
2026-07-12-am,gpt-5.6-sol,xhigh,8,10,120,25773617,25545644,24514560,227973,1263,,,false,1.0,public_summary,https://codexradar.com/
2026-07-12-pm,gpt-5.6-sol,xhigh,7,10,105,25166930,24938228,23922944,228702,2173,,,false,1.0,public_summary,https://codexradar.com/
2026-07-13-am,gpt-5.6-sol,xhigh,7,10,105,28062825,27841820,26762240,221005,2251,26.39157,66.75,false,1.0,public_summary,https://codexradar.com/
2026-07-10-pm_2,gpt-5.6-sol,high,7,10,105,24044450,23817163,22773504,227287,895,,,false,1.0,public_summary,https://codexradar.com/
2026-07-11-pm,gpt-5.6-sol,high,6,10,90,13070750,12926523,12228608,144227,718,,,false,1.0,public_summary,https://codexradar.com/
2026-07-12-am,gpt-5.6-sol,high,6,10,90,15147692,15004264,14268672,143428,1207,,,false,1.0,public_summary,https://codexradar.com/
